"M","h"
0.21393440913837,1.07380124144376
0.2032152598284,0.926236190616103
0.23340152625601,0.930820868075689
0.229572971856885,0.787247476169532
0.262078383676148,0.953022920091975
0.198918645784174,0.87370964770418
0.240793772675021,0.982243970149778
0.227249470265641,1.01720204655233
0.206417628720462,1.02079199610086
0.244021899578389,0.956663499166133
0.214916707909477,0.831347581627046
0.209863093914476,0.754435902517044
0.215579163296881,1.02654195230485
0.220327251062693,0.761608093600741
0.215255480300448,0.987795926263165
0.195906589358361,0.893490381476543
0.207339426374765,0.905402720686341
0.232290072674437,0.979161740321447
0.199878504041462,1.03314719201625
0.214747601489481,0.889707603617789
0.227993514797002,0.913962212133539
0.223528175951498,0.893895910224603
0.20407877552809,0.757143756964552
0.197426909909853,0.743402166856872
0.200708169210033,0.874686787533708
0.238969734203712,0.905416290561746
0.214260148793374,0.854643642850574
0.253577474101117,0.892011409746698
0.209754835274632,0.952645229516377
0.198448449072511,0.848845993335405
0.256625778606866,0.943518393620951
0.236833137363499,0.91610710905407
0.22690053858127,1.01063173614299
0.228145352643744,0.915032821104056
0.243683902174678,0.968175549947753
0.239029244225022,0.853840465307395
0.240378611745237,0.796523065042481
0.227846963026809,1.03808348653515
0.233896727785917,0.864562983416191
0.199265939476609,1.0238585579361
0.220964518898278,0.835257650393034
0.245495566801873,0.811852943909921
0.225919712219208,0.887522929311794
0.180941804795775,0.819823242567922
0.254451341816956,0.875534485735558
0.201949068864397,0.841302725342331
0.241014547073543,0.886772881046327
0.206682334955777,1.00961998360692
0.217130124283652,0.865730955850448
0.233564161787345,0.965306736847646
0.195307501584927,0.796895351754384
0.236302935679213,0.990294159493657
0.201420553865843,0.79009376328716
0.21915652681487,0.922189906682206
0.208236129761951,0.819801804511875
0.211898737768656,0.823863075149834
0.218180180007879,0.961855452104737
0.239169495188523,0.876175193144181
0.232602724446291,0.871170120379676
0.181901562643747,0.930791113063682
0.264383025165682,0.918645405940571
0.234394197854296,0.965475124058306
0.185263298828886,0.827509580591964
0.246809044076192,1.04509167946097
