"M","h"
0.371621386330268,0.87804952402967
0.407566612971498,0.858573561196173
0.325233984085219,0.988090441728608
0.357696517563887,0.982625850500986
0.32755680928929,0.785489897879409
0.351614236880113,0.834130450304676
0.357153763918144,0.9180979886442
0.405039645613279,0.782778834209543
0.380212446903016,0.986440888274383
0.334615073624794,0.906764557750278
0.37327694851219,0.769424535318806
0.366454963158533,0.956090963379209
0.430650750508859,1.04461347594312
0.330222690814141,0.853763946779851
0.414413276911487,0.970911893968049
0.332526714659295,1.02678336710247
0.345718076001395,0.909794539410267
0.401856930932123,0.939926674188731
0.336977188997084,0.777051376783138
0.353037773677931,0.919222674226208
0.364013064299988,0.871341582452555
0.396268267437404,0.802924729354949
0.318556319537171,0.889121676703385
0.356048697304457,0.897886205527289
0.393811240005013,0.955003487319257
0.377923318511704,0.866330591839048
0.359394357192843,0.981760338418802
0.437651872904443,1.00087124697525
0.436356823874359,1.0182532269114
0.331307295623136,0.933984316474705
0.36556935034826,0.905317917078451
0.419145293197594,0.917010812198357
0.386847288947968,0.93979587737897
0.373233535130026,0.761831727316754
0.372486219990961,0.854754176038307
0.326250036507426,0.818900342969611
0.391990642167521,0.838343055422141
0.372358157863758,0.894840034536453
0.354647528879443,0.955809120920848
0.351578108475711,0.946397083903177
0.406107459491866,0.971479991609294
0.348565935506064,0.892395196947236
0.3527066708284,0.819186726599776
0.364056887553238,0.923951319774361
0.368411303413352,0.833792707258239
0.387398395116448,0.9641997328756
0.299254359297849,0.945957246848489
0.368576648424631,0.896040099751746
0.37806968673758,0.867351975673769
0.373484510766213,0.931950522951795
0.375090328546341,0.820003227626323
0.354620177757296,1.01891941334696
0.400473583370923,0.91913307562282
0.351076291139079,0.843521914544772
0.397927651544035,0.868200135711778
0.332270452474779,0.753369936503879
0.361338820227493,0.805196115653992
0.349760217882267,0.861674421785539
0.321603449713295,0.85116677206059
0.393180437743824,0.917592462423558
0.349193004406575,0.985884247938778
0.35866790186519,0.840105486853889
0.302093593001129,0.801062558675967
0.401648933631505,0.926963182768449
0.346233331980445,0.867218317844009
0.343676635318014,0.887375342458247
0.396215260384484,0.864037035205354
0.390937818122176,0.901827346471013
